uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1718412016","15 Jun 2024, 00:40","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","Apple","85cc72aa-2e66-45fc-bc02-ce2ec036f82b"
"1718411843","15 Jun 2024, 00:37","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","Girl, so confusing","01a70574-fcf4-4292-a29b-bd5dc6892cfa"
"1718411462","15 Jun 2024, 00:31","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","So I","90962800-c819-47bc-b1df-97ed3ff2bd08"
"1718411295","15 Jun 2024, 00:28","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","Rewind","ff1b50b4-b05c-4d65-836d-8ae4685ece42"
"1718411091","15 Jun 2024, 00:24","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","Everything is romantic","92f108ea-4a03-4469-8bc3-be46ffa331e0"
"1718410927","15 Jun 2024, 00:22","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","Von dutch","93e4875c-8a06-4b7d-96cb-8cb27f142c7d"
"1718383867","14 Jun 2024, 16:51","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","Talk talk","351af27b-2581-4f27-a75f-1ae5200db4f2"
"1718383758","14 Jun 2024, 16:49","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","I might say something stupid","5d43269f-4c7d-40cb-893d-35b51b6dc078"
"1718383607","14 Jun 2024, 16:46","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","Sympathy is a knife","75fbda47-954c-4a9d-b6a8-e28ad376313a"
"1718383454","14 Jun 2024, 16:44","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","Club classics","0a88e1e3-f8b3-434a-9289-a2828a00241a"
